Hex,Flight,Altitude,Speed,Lat,Lon,Track,Messages,Seen
a4dd35,,0,0,0.000000,0.000000,0,1,1677185012
89901f,,0,266,0.000000,0.000000,96,1,1677185014
a4dd35,,0,0,0.000000,0.000000,0,2,1677185015
a4dd35,,0,0,0.000000,0.000000,0,3,1677185015
a4dd35,,29050,0,0.000000,0.000000,0,5,1677185018
a4dd35,,29025,0,0.000000,0.000000,0,6,1677185018
a4dd35,,29025,0,0.000000,0.000000,0,7,1677185018
a4dd35,,29025,0,0.000000,0.000000,0,8,1677185018
a4dd35,,29025,0,0.000000,0.000000,0,9,1677185019
aa76cb,,28000,0,0.000000,0.000000,0,2,1677185021
aa76cb,,28000,0,0.000000,0.000000,0,3,1677185021
aa76cb,,28000,0,0.000000,0.000000,0,4,1677185021
aa76cb,,28000,0,0.000000,0.000000,0,6,1677185021
aa76cb,,28000,0,33.944275,-118.449433,0,7,1677185022
aa76cb,,28000,0,33.944275,-118.449433,0,9,1677185022
aa76cb,,28000,0,33.944275,-118.449433,0,10,1677185022
aa76cb,,28000,0,33.944275,-118.449433,0,11,1677185022
aa76cb,,28000,429,33.944275,-118.449433,352,12,1677185022
89901f,,0,266,0.000000,0.000000,96,2,1677185022
aa76cb,,28000,429,33.946311,-118.449783,352,13,1677185023
aa76cb,,28000,429,33.946311,-118.449783,352,14,1677185023
a4dd35,,28950,0,33.843475,-118.316812,0,11,1677185023
aa76cb,,28000,429,33.946311,-118.449783,352,15,1677185023
aa76cb,,28000,429,33.946311,-118.449783,352,17,1677185023
aa76cb,,28000,429,33.946311,-118.449783,352,18,1677185023
a4dd35,,28950,471,33.843475,-118.316812,132,12,1677185023
a4dd35,,28950,471,33.843475,-118.316812,132,13,1677185023
a4dd35,,28950,471,33.843475,-118.316812,132,14,1677185023
aa76cb,,28000,429,33.948349,-118.450162,352,19,1677185024
aa76cb,,28000,429,33.948349,-118.450162,352,20,1677185024
a4dd35,,28950,471,33.841827,-118.314626,132,15,1677185024
aa76cb,,28000,429,33.948349,-118.450162,352,21,1677185024
a4dd35,,28950,471,33.841827,-118.314626,132,16,1677185024
aa76cb,,28000,429,33.948349,-118.450162,352,22,1677185024
89901f,,0,264,0.000000,0.000000,96,3,1677185024
a4dd35,,28950,471,33.841827,-118.314626,132,17,1677185024
89901f,,7675,264,0.000000,0.000000,96,5,1677185024
aa76cb,,28000,429,33.950226,-118.450498,352,23,1677185025
89901f,,7650,264,0.000000,0.000000,96,6,1677185025
a4dd35,,28925,471,33.841827,-118.314626,132,18,1677185025
a4dd35,,28925,471,33.841827,-118.314626,132,19,1677185025
a4dd35,,28925,471,33.841827,-118.314626,132,20,1677185025
